COIN,PRICE,CHG 24H,MKT CAP,FDV,VOL 24H,OPEN INTEREST,OI CHG 24H,OI CHG 24H,OI CHG 4H,OI CHG 4H,OI SHARE,OI / VOL24H,OI / MKTCAP,VOL24H / MKTCAP,FR AVG,PFR AVG,FR AVG OI_W,PFR AVG OI_W,LIQS. 24H,SHORT LIQS. 24H,LONG LIQS. 24H,LIQS. 24H / VOL 24H,LIQS. 24H / OI,NR CONTRS,L/S RATIO (1H),LONG (1H),SHORT (1H),L/S RATIO (1D),LONG (1D),SHORT (1D),BTC CORR. 30D,BTC CORR. 7D,ETH CORR. 30D,ETH CORR. 7D,CHART 24H,CHART 7D,CHART 30D,FUT / SPOT VOL RATIO >4 TRAP,BUYSELLVOL >0.2 PUMP,CORE TRIO 1 > 15,CORE TRIO 2 < -15,CORE TRIO 3 > 10,CVD DIV : DUMP=<-0.1 AND PUMP= >0.1,SPOT CVD SLOPE 25M,CVD SPOT LED DIVERG,DAILY SPOT ACCUMULATION,EXIT : LEVERAGE EXHAUSTION RATIO > 1.5,OI SCORE <0 = PUMP OVER,SPOT CVD DIVERGENCE LEAD>2,< -1 = PUMP OVER,EXPLOSIVE BREAKOUT >0.5 = BREAKOUT,FUNDING RATE ANOMALY,HEALTHY LEVERAGE GROWTH > 0.05,HOURLY BID-SIDE PRESSURE,HOURLY VOLUME PERSISTENCE,SPOT ACCUMULATION 12HR,HTF STEALTH ACCUMULATION BREAKOUT > 8,HTF VOLUME-WEIGHTED OI BREAKOUT,SPOT CVD ACCELERATION DOWN,LAYER 1:SUSTAINED OI GROWTH PT1 > 15,LAYER 1 STEALTH PT2 : OI GROWTH IN CONSOLIDATION > -5,LAYER 1:SUSTAINED OI GROWTH PT3 <5,LAYER 1 : SPOT CVD VS. PRICE DIVERGENCE >10,LAYER 2 BID-SIDE PRESSURE > 1.5,LAYER 2 : VOLUME PERSISTENCE PRE-BREAKOUT > 2,>+2 = LONG REVERSAL SOON,LTF MOMENTUM IGNITION,LTF MOMENTUM IGNITION SCORE > 3.5,NIHILUS 2> 1.4,NIHILUS 3> 2,NIHILUS VOL 1 > 2,OI PRICE CORR( +VE = PUMP),OI FUEL 1HR CHANGE,"OI FUEL ≥2.2 =EXPLOSION ,1.4–2.1=TREND , <1.4 SKIP",OI MULTI-TF SCORE,OI UNWIND : > 0= CASCADE DUMP STARTING,PRED FR CHANGE 1HR,PRICE CHG 15 M,SPOT-LED COMMITMENT SCORE >2,SPOT VOLUME EXPANSION,STEALTH ACCUM >5,OI CHANGE 20H > 10,PRICE CHANGE 20H < 0.05,STEALTH OI ACCUM>4,SUSTAINED OI GROWTH,SELL DOM >0.55,VOL SPIKE > 500
Brett BRETT,$0.05,'+7.35%,$457.1m,n/a,$24.4m,$26.7m,'+8.43%,$2.1m,'+2.68%,$695.6k,0.22%,1.093,0.058,0.053,'+0.0118%,'+0.0129%,'+0.0092%,'+0.0093%,$27.7k,$23.6k,$4.0k,0.0011,0.0010,9,2.41,70.69%,29.32%,2.49,71.35%,28.65%,'+0.69,'+0.86,'+0.93,'+0.86,,,,10.3088,-1.0892,416.5483,-100.0000,3.3193,0.0015,99.9927,103.8944,-0.2563,-0.6412,1.2054,5.1094,-97.5700,223.9815,0.0053,-0.9320,0.9581,1.2155,416.5483,185.5857,-1.2787,-194.4923,-0.0593,9.5117,9.5117,47.1070,0.9581,1.4249,2.1470,31.0381,1.4356,17.2856,0.7560,0.4301,-0.1485,-0.9320,17.2856,1.3916,0.0999,-6.6718,-0.0487,0.7560,0.7943,-2.4083,7.4736,0.0843,8.0680,-1.4700,0.5319,24.1286
Tutorial TUT,$0.08,-3.39%,$70.3m,$70.3m,$23.3m,$50.3m,-5%,$-2.6m,-0.43%,$-218.9k,0.41%,2.157,0.716,0.332,'+0.0067%,'+0.0075%,'+0.0056%,'+0.0056%,$23.1k,$1.2k,$21.9k,0.0010,0.0005,5,0.97,49.28%,50.73%,0.96,49.03%,50.97%,-0.08,-0.66,-0.48,-0.60,,,,7.3140,-1.9343,416.2204,243.6959,-1.8541,-0.0023,31.0164,76.0065,-94.8202,-1.2655,-1.1612,3.5785,-73.6066,437.7579,0.0068,1.7772,1.0070,2.2842,416.2204,328.1429,3.1850,0.2145,-5.0235,0.5557,0.5557,-96.9243,1.0070,1.9464,-2.9559,11.1764,0.0213,32.3340,1.1841,0.1117,-0.3727,1.7772,32.3340,0.5111,0.2261,0.0000,-0.1469,1.1841,0.3495,0.3879,-1.3682,0.0159,-7.2228,-1.9253,0.5246,-24.2031
Monero XMR,$332.74,'+10.19%,$6.1b,n/a,$98.5m,$38.5m,'+29.42%,$8.8m,'+1.65%,$626.2k,0.32%,0.391,0.006,0.016,'+0.0207%,'+0.0097%,'+0.0125%,'+0.0180%,$256.7k,$219.4k,$37.3k,0.0026,0.0067,6,1.74,63.56%,36.45%,1.86,64.99%,35.01%,'+0.60,'+0.81,'+0.11,'+0.76,,,,8.0894,1.3052,414.9047,n/a,19.7173,-0.0009,29.1531,-247.6795,32.4170,7.5852,-1.0578,-1.2959,245.3266,-39.9550,0.0197,-0.0726,1.0136,1.8346,414.9047,270.9178,-0.0907,5.9435,33.3646,14.2191,14.2191,71.3443,1.0136,1.2822,-0.9845,9.1119,1.2000,-4.2546,-0.3791,1.5027,1.6840,-0.0726,-4.2546,0.7071,-0.9614,-73.9210,0.7157,-0.3791,1.0894,-1.1899,30.9446,0.1129,-9.0726,20.1333,0.4919,12.0404
AVAAI AVAAI,$0.02,'+0.42%,n/a,n/a,$5.4m,$7.2m,'+1.61%,$113.5k,-0.34%,$-24.4k,0.06%,1.318,n/a,n/a,'+0.0114%,'+0.0084%,'+0.0133%,'+0.0081%,$3.5k,$278.30,$3.2k,0.0006,0.0005,5,3.16,75.97%,24.04%,2.99,74.96%,25.04%,'+0.20,-0.07,'+0.74,'+0.07,,,,63.4590,-1.1546,369.7041,175.7319,-1.3047,0.2038,99.9818,46.5696,26.1071k,-6.7791,1.8594,24.7565,-19.9373,1.7659k,0.0159,-1.6309,1.0579,2.0655,369.7041,346.0598,-1.3648,-532.8706,1.4777,-2.3041,-2.3041,203.4101,1.0579,0.8234,3.5068,36.2696,0.9906,18.0751,0.1394,0.2940,-0.7010,-1.6309,18.0751,-0.5188,0.2755,-30.5223,-0.4267,0.1394,2.4946,-5.1498,1.2384,0.0263,7.3691,4.0906,0.4823,-62.4018
Port3 PORT3,$0.05,'+10.66%,$26.0m,n/a,$5.7m,$5.3m,'+12.48%,$588.1k,'+2.91%,$149.8k,0.04%,0.923,0.204,0.221,'+0.0155%,'+0.0413%,'+0.0155%,'+0.0413%,$13.1k,$10.5k,$2.6k,0.0023,0.0025,2,1.38,58.01%,41.99%,1.42,58.61%,41.39%,'+0.10,'+0.70,-0.46,'+0.76,,,,9.6671,-0.7102,356.0727,-100.0000,7.8466,-0.0088,42.0766,101.7187,191.3918,26.0388,4.2901,6.0573,-91.3229,117.7616,0.0125,-4.7015,0.8997,2.4339,356.0727,127.1248,-11.3964,-47.6622,64.9929,40.1143,40.1143,-39.6427,0.8997,2.8265,9.0400,-15.0435,0.8069,-38.7232,1.2820,0.3266,-4.3059,-4.7015,-38.7232,-2.2405,2.2514,22.9351,-2.1018,1.2820,7.8399,-23.5244,7.6160,0.1184,1.2985,-8.9351,0.5415,22.4553
Perpetual Protocol PERP,$0.30,'+2.90%,$21.7m,n/a,$3.5m,$4.5m,'+3.02%,$133.2k,'+1.25%,$56.2k,0.04%,1.298,0.209,0.161,-0.01%,-0.01%,'+0.0080%,'+0.0087%,$1.0k,$989.20,$21.30,0.0003,0.0002,6,2.17,68.43%,31.57%,2.10,67.77%,32.24%,'+0.22,'+0.55,-0.21,'+0.69,,,,2.1799,-0.0185,354.6032,53.8834,1.3388,0.0030,44.3958,-15.0644,-95.4413,-1.3156,0.2377,-16.1836,-0.8755,100.3387,0.0662,-0.5890,1.0369,1.4178,354.6032,6.7990k,-0.6378,-28.2745,-9.3417,6.2681,6.2681,-94.4799,1.0369,1.0919,0.8326,543.5151,3.6120,365.8092,-7.6720,0.1743,0.4526,-0.5890,365.8092,-0.2386,-0.2185,27.3500,0.2336,-7.6720,1.2515,-0.6483,2.9333,0.0303,-6.5890,-15.1714,0.5946,407.3448
NOM NOM,$0.04,-7.39%,n/a,n/a,$144.6m,$5.2m,-13.17%,$-791.9k,-2.32%,$-124.3k,0.04%,0.036,n/a,n/a,-0.13%,-0.15%,-0.11%,-0.12%,$705.2k,$359.0k,$346.2k,0.0049,0.1350,3,1.15,53.59%,46.41%,1.07,51.62%,48.39%,n/a,n/a,n/a,n/a,,,,5.3068,0.3182,346.5714,-50.0962,1.3052,-0.0007,-0.0008,n/a,n/a,116.1608,0.7612,-6.7260,n/a,111.6556,-0.1029,5.3505,0.9804,0.5044,346.5714,95.1580,5.2153,11.6188,n/a,n/a,n/a,n/a,0.9804,0.9723,-4.6395,-83.6950,0.7939,-34.2559,-0.9842,n/a,-0.8936,5.3505,-34.2559,0.7084,0.0635,418.9569,-0.8307,-0.9842,0.3212,4.8449,-0.1843,0.0610,-0.6495,n/a,0.5038,24.8806
Vaulta A,$0.41,'+2.45%,$661.5m,n/a,$14.6m,$18.1m,'+1.85%,$329.1k,-1.05%,$-192.5k,0.15%,1.243,0.027,0.022,'+0.0063%,'+0.0075%,'+0.0062%,'+0.0065%,$14.2k,$8.0k,$6.2k,0.0010,0.0008,6,1.44,59.03%,40.98%,1.42,58.72%,41.29%,'+0.35,'+0.22,'+0.85,'+0.33,,,,4.2912,-3.0960,343.4650,-83.2763,-0.5212,0.0005,3.8624,52.9825,164.3925,1.3509,0.4369,-22.2750,-74.8114,-526.1630,0.0062,-0.9252,0.7932,1.0928,343.4650,3.6550,-1.3126,-111.3240,2.9862,-1.4061,-1.4061,-18.7908,0.7932,1.4807,1.3713,-56.2572,0.9918,-41.2940,-6.6892,0.6555,0.3043,-0.9252,-41.2940,-1.0090,-0.0723,0.0000,0.2318,-6.6892,0.8049,-1.1242,2.3341,0.0320,-6.9252,0.5471,0.5844,-35.4873
Sologenic SOLO,$0.28,-3.19%,$110.0m,n/a,$217.9k,$1.2m,'+0.93%,$11.5k,-0.99%,$-12.4k,0.01%,5.719,0.011,0.002,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,2,1.53,60.48%,39.52%,1.53,60.50%,39.50%,'+0.16,'+0.07,'+0.72,'+0.20,,,,1.1716,-3.3480,338.4311,-54.4543,2.0692,0.0731,83.2612,16.1394,118.7137,-1.2175,0.6430,-2.9286,-18.4184,2.4713k,0.0100,-0.6575,0.9065,0.9566,338.4311,130.3555,-0.2390,-74.8629,-5.2902,-6.3183,-6.3183,69.4258,0.9065,0.3418,1.3070,0.2131,1.3405,-4.9363,-1.7657,0.9261,-0.1648,-0.6575,-4.9363,-0.3166,0.0491,0.0000,-0.1158,-1.7657,0.2683,-1.0794,2.2663,0.0278,-6.6575,6.4131,0.5481,478.1777
ZCash ZEC,$150.97,'+65.66%,$2.5b,n/a,$1.9b,$132.3m,'+179.56%,$85.0m,'+17.97%,$20.2m,1.08%,0.069,0.053,0.772,'+0.0119%,'+0.0329%,'+0.0101%,'+0.0064%,$8.1m,$6.4m,$1.7m,0.0043,0.0616,7,0.59,36.91%,63.09%,0.60,37.68%,62.32%,'+0.38,'+0.90,-0.14,'+0.88,,,,6.1912,0.5911,336.3581,1.0198k,49.8443,0.0000,91.9870,-14.9243,8.6982k,29.7411,-3.4199,6.7492,18.1517,171.4876,0.0384,9.9159,1.0570,1.2221,336.3581,297.3029,13.5588,-36.0690,784.8843,179.2874,179.2874,6.3264k,1.0570,1.4195,-13.4377,-1.8289,-0.5006,3.6310,1.4538,8.4226,-5.2882,9.9159,3.6310,10.2760,2.2443,146.2070,-3.1137,1.4538,5.8470,-2.4875,104.3993,0.3201,6.9159,616.1551,0.4725,-71.7408
Hashflow HFT,$0.08,'+3.51%,$47.4m,n/a,$6.1m,$5.0m,'+3.99%,$190.8k,-1.17%,$-59.1k,0.04%,0.816,0.105,0.129,'+0.0033%,0.00%,'+0.0098%,'+0.0098%,$541.60,$541.20,$0.40,0.0001,0.0001,5,2.35,70.12%,29.88%,2.37,70.34%,29.67%,'+0.23,'+0.51,'+0.75,'+0.64,,,,0.9679,-1.8873,331.3777,n/a,2.0364,0.0040,89.0218,15.2898,-58.2536,0.2466,0.7424,-1.9229,-16.4574,-29.0892,0.0944,-1.2839,1.0268,0.6504,331.3777,228.1937,-0.9978,-21.0539,1.9133,0.6091,0.6091,-70.2113,1.0268,0.7603,2.0392,3.6521,1.0894,0.5242,-1.1210,0.5210,0.0203,-1.2839,0.5242,-0.8217,0.0513,-324.4746,0.0716,-1.1210,1.0767,-1.8543,2.8383,0.0381,-7.2839,-2.6773,0.6116,-67.3365
SPX6900 SPX,$1.24,'+15.89%,$1.2b,n/a,$164.2m,$65.9m,'+12.98%,$7.6m,-2.55%,$-1.7m,0.54%,0.402,0.057,0.142,'+0.0097%,'+0.0125%,'+0.0089%,'+0.0090%,$240.1k,$193.1k,$47.0k,0.0015,0.0036,10,1.62,61.82%,38.18%,1.95,66.12%,33.89%,'+0.58,'+0.75,'+0.84,'+0.78,,,,11.7375,-0.2008,310.1786,-72.4221,12.3456,0.0018,97.8342,29.1739,61.6530,-1.5852,-0.1755,15.5292,-13.8175,110.9735,0.0103,-0.2724,0.8490,0.6797,310.1786,175.4892,-0.1591,146.7916,32.1967,19.6382,19.6382,11.3912,0.8490,0.5609,0.0996,0.4269,1.4417,-4.8138,1.0313,1.1707,-0.4376,-0.2724,-4.8138,0.1253,0.3285,1.0954,-0.1095,1.0313,0.6286,-0.3022,12.7640,0.1354,-6.2724,7.0496,0.4829,-4.5739
Orderly Network ORDER,$0.39,'+2.95%,$118.3m,n/a,$170.8m,$27.0m,-7.32%,$-2.1m,-1.69%,$-463.9k,0.22%,0.158,0.228,1.443,'+0.0083%,'+0.0100%,'+0.0097%,'+0.0100%,$423.2k,$232.6k,$190.6k,0.0025,0.0157,7,1.10,52.44%,47.57%,1.10,52.47%,47.53%,'+0.08,'+0.79,-0.47,'+0.82,,,,32.8534,1.3279,291.0355,1.0633k,0.8542,0.0014,99.9983,-46.3519,-68.2177,5.6261,-4.0258,32.2851,74.5558,37.9720,0.0052,5.5984,1.0058,0.6985,291.0355,11.7504,6.4030,n/a,72.6293,46.7103,46.7103,-50.3286,1.0058,1.1604,-9.6796,33.9236,1.9930,25.9118,0.9092,0.6629,5.4109,5.5984,25.9118,4.6688,-2.7846,0.0000,2.5551,0.9092,1.2497,-11.0583,-1.7372,0.0642,-12.4016,56.8246,0.4436,-13.6281
Sui Name Service NS,$0.14,'+2.00%,$21.9m,$70.6m,$258.6k,$962.4k,'+1.60%,$15.1k,-1.37%,$-13.3k,0.01%,3.722,0.044,0.012,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,1,2.05,67.22%,32.78%,1.73,63.40%,36.60%,'+0.67,-0.13,'+0.51,-0.06,,,,1.1441,-2.5758,285.0735,345.6982,-1.3222,0.0432,26.4352,37.2103,-88.4400,0.2159,0.6737,4.1305,-32.3985,-71.1469,0.0100,-0.7606,1.0411,4.1035,285.0735,297.2985,-0.3642,23.2494,-10.8125,-11.1027,-11.1027,-92.7463,1.0411,0.4551,1.4419,14.6317,1.5162,4.7801,1.9867,0.2560,0.0094,-0.7606,4.7801,-0.5443,0.0119,0.0000,0.0213,1.9867,1.6339,-1.2248,0.8410,0.0368,-6.7606,0.3219,0.6239,-24.6838
Aethir ATH,$0.05,'+0.50%,$645.2m,n/a,$55.7m,$84.4m,'+2.91%,$2.4m,-2.54%,$-2.2m,0.69%,1.515,0.131,0.086,-0.02%,-0.03%,'+0.0032%,'+0.0004%,$58.6k,$35.5k,$23.0k,0.0011,0.0007,8,0.87,46.52%,53.48%,0.91,47.62%,52.38%,'+0.46,-0.60,'+0.03,-0.48,,,,4.5203,-0.2303,281.0446,-100.0000,0.4517,0.0007,50.8269,93.2409,15.6568,-4.3295,0.0791,-6.6790,-99.8398,-139.8872,-0.0060,-0.1051,0.8377,0.7669,281.0446,794.6353,-0.1430,14.5240,-11.3146,-3.7229,-3.7229,104.1161,0.8377,1.4116,0.1852,3.1806,0.9064,13.1500,-1.7391,0.2257,0.6690,-0.1051,13.1500,-0.4179,-0.3606,13.9334,0.3073,-1.7391,0.6039,-0.1115,-0.8534,0.0510,-6.1051,13.7590,0.5123,26.1182
rats (Ordinals) RATS,$0.00,'+3.50%,n/a,n/a,$140.3k,$228.9k,'+2.45%,$5.5k,'+2.41%,$5.4k,0%,1.632,n/a,n/a,-0.40%,-1.14%,-0.01%,-1.14%,$27.80,$27.80,$n/a,0.0002,0.0001,3,n/a,n/a%,n/a%,n/a,n/a%,n/a%,-0.06,'+0.10,-0.59,'+0.11,,,,0.1030,7.2845,272.5578,84.1238,4.0926,-0.0552,0.7980,-74.8485,330.6351,-138.2825,0.4166,-44.1266,31.1414,'-7.1681k,-0.6645,-0.2908,2.0183,1.3625,272.5578,-26.6688,-0.2317,-78.3500,-12.7215,14.9314,14.9314,-69.2442,2.0183,0.7813,0.7104,37.3169,0.6889,223.8286,-180.7923,0.2213,0.3691,-0.2908,223.8286,0.4374,-0.0162,41.8944,0.3529,-180.7923,11.0622,-0.4668,4.8863,0.0706,-6.2908,-21.2020,0.3039,-99.8493
1000CHEEMS 1000CHEEMS,$0.00,'+1.39%,n/a,n/a,$1.4m,$12.7m,'+1.95%,$242.5k,-0.89%,$-113.9k,0.10%,8.847,n/a,n/a,'+0.0050%,'+0.0050%,'+0.0050%,'+0.0050%,$1.9k,$46.30,$1.8k,0.0013,0.0001,2,1.64,62.07%,37.93%,1.63,61.96%,38.04%,'+0.59,-0.41,'+0.76,-0.35,,,,1.5073,-0.8131,270.6948,580.9626,1.9454,0.0047,80.1802,4.0679,-92.8725,-2.2265,0.7142,0.2467,-3.1005,608.0853,0.0050,-0.6481,1.1690,1.8045,270.6948,202.4720,-0.6699,-156.9811,-5.4862,-6.4583,-6.4583,-94.9860,1.1690,1.0372,1.3688,-6.4766,0.7630,-7.9608,0.1948,0.4326,-0.5878,-0.6481,-7.9608,-0.4652,0.2583,0.0000,-0.3303,0.1948,1.8062,-1.1675,2.9573,0.0387,-6.6481,1.2270,0.4900,-34.7815
Pendle PENDLE,$4.93,'+5.34%,$834.2m,n/a,$69.4m,$85.1m,-0.93%,$-802.9k,-2.86%,$-2.5m,0.70%,1.225,0.102,0.083,'+0.0042%,'+0.0009%,'+0.0074%,'+0.0027%,$94.8k,$90.2k,$4.7k,0.0014,0.0011,10,1.59,61.38%,38.63%,1.36,57.71%,42.30%,'+0.77,'+0.58,'+0.81,'+0.70,,,,7.0161,-0.7878,270.6605,78.7417,-6.5515,0.0000,58.0813,2.1825,-52.0947,-0.2724,0.4883,-9.1619,-10.8480,430.6903,0.0047,-0.8100,1.0003,0.8730,270.6605,162.1080,-0.7646,-192.3986,9.4474,5.1131,5.1131,-69.7055,1.0003,0.9387,1.3064,1.3625,0.8985,0.3817,-2.6915,0.5151,-0.0306,-0.8100,0.3817,-0.5079,-0.0366,-138.4072,-0.0671,-2.6915,1.3191,-1.0564,-3.8799,0.0449,-6.8100,4.3138,0.4718,-48.1734
Fusionist ACE,$0.47,'+2.19%,$35.5m,n/a,$3.3m,$6.2m,'+2.49%,$149.9k,-0.29%,$-18.0k,0.05%,1.853,0.174,0.094,'+0.0172%,'+0.0101%,'+0.0093%,'+0.0100%,$2.4k,$186.30,$2.2k,0.0007,0.0004,7,3.19,76.13%,23.88%,3.17,76%,24%,'+0.61,'+0.29,'+0.84,'+0.42,,,,3.4676,-0.6285,265.6572,-88.3246,-0.1676,-0.0082,74.6113,144.5232,-81.9174,-0.8530,0.5323,81.7026,-62.2801,1.5145k,0.0433,-0.8194,0.9127,1.3209,265.6572,326.7479,-1.6596,103.5476,-4.7507,-0.7593,-0.7593,-92.6303,0.9127,2.2568,1.3600,-13.2458,1.3201,-17.1137,23.4993,0.1376,0.2118,-0.8194,-17.1137,-0.0945,-0.2753,-55.9508,-0.0633,23.4993,1.9068,-1.1116,2.4273,0.0297,-6.8194,2.3413,0.4990,44.7923
Gnosis GNO,$151.32,'+1.13%,$398.8m,n/a,$340.5k,$1.0m,-5.64%,$-61.2k,'+3.08%,$30.6k,0.01%,3.005,0.003,0.001,-0.06%,-0.02%,-0.06%,-0.02%,$65.90,$65.90,$n/a,0.0002,0.0001,3,1.80,64.29%,35.71%,1.77,63.90%,36.10%,'+0.89,'+0.92,'+0.56,'+0.95,,,,0.3897,-4.5377,263.8108,-100.0000,-0.1301,0.0105,55.6966,98.1963,-72.7420,-17.4228,0.3724,-1.4503,-99.2934,441.8270,-0.0515,1.8744,0.3751,1.3970,263.8108,218.9711,3.2385,-2.0996,67.1655,10.6085,10.6085,-80.5669,0.3751,1.8635,-1.5210,68.9785,0.5259,77.4843,-2.6176,0.4896,0.6433,1.8744,77.4843,2.2726,-0.2820,-15.7523,0.3603,-2.6176,0.3832,1.7495,0.2921,0.0223,-4.1256,63.9279,0.7983,-55.3624
Pump.fun PUMP,$0.01,'+3.44%,$2.5b,n/a,$1.9b,$918.0m,'+0.31%,$2.8m,'+5.14%,$44.9m,7.53%,0.479,0.374,0.781,'+0.0120%,'+0.0114%,'+0.0214%,'+0.0187%,$5.0m,$2.6m,$2.4m,0.0026,0.0055,11,1.99,66.55%,33.46%,1.95,66.07%,33.93%,'+0.82,'+0.93,'+0.57,'+0.90,,,,9.6323,-0.3828,258.0709,-19.7835,3.6430,0.0001,99.9999,22.7880,82.2301,3.6190,0.0400,7.5796,-15.1716,28.2857,0.0074,0.3174,1.0927,0.7440,258.0709,421.5925,0.3556,-33.2762,18.2640,19.8874,19.8874,269.6213,1.0927,1.1337,-0.2807,71.2405,2.3974,42.7290,0.9658,0.4995,1.5709,0.3174,42.7290,1.7517,-0.9716,-23.2675,0.5935,0.9658,0.4517,0.3161,6.1984,0.0636,-5.6826,3.7677,0.4761,100.0080
Rocket Pool RPL,$5.18,'+6.14%,$113.0m,n/a,$2.5m,$3.4m,-0.05%,$-1.8k,-2.37%,$-82.3k,0.03%,1.340,0.030,0.022,'+0.0075%,'+0.0075%,'+0.0070%,'+0.0070%,$3.4k,$1.9k,$1.5k,0.0013,0.0010,3,1.86,65.07%,34.93%,1.95,66.09%,33.91%,'+0.33,'+0.32,'+0.84,'+0.32,,,,2.2689,-0.7221,255.7922,-69.4523,-2.6590,-0.0035,15.4992,31.3284,273.9594,0.7130,1.1775,-32.4113,-62.5411,-32.6792,0.0075,-2.0939,0.9190,1.3545,255.7922,308.5652,-4.1395,-107.1725,12.6357,-4.0783,-4.0783,0.6479,0.9190,2.1910,3.2925,-37.5595,0.9580,-28.2133,-21.3005,0.4048,0.2869,-2.0939,-28.2133,-0.7979,-0.1750,0.0000,0.1117,-21.3005,1.4990,-3.5305,0.4102,0.0698,6.9061,4.0070,0.5148,-61.2879
Beam BEAM,$0.01,'+7.53%,$463.8m,n/a,$29.2m,$23.6m,'+27.02%,$5.0m,'+20.91%,$4.1m,0.19%,0.806,0.051,0.063,'+0.0144%,'+0.2678%,'+0.0403%,'+0.0928%,$45.6k,$34.9k,$10.7k,0.0016,0.0019,6,1.75,63.68%,36.32%,1.72,63.18%,36.83%,'+0.80,'+0.92,'+0.41,'+0.93,,,,2.6710,-0.4100,246.7638,220.0809,27.7170,0.0001,59.9347,42.8811,534.5494,-96.6239,2.8498,9.8470,-30.1420,513.2968,-0.0158,-3.7838,1.0469,8.4975,246.7638,n/a,-14.1087,9.5504,36.2820,20.7069,20.7069,116.7844,1.0469,5.1280,6.6759,-2.0766,0.9082,-13.4092,12.8091,1.8433,-1.8421,-3.7838,-13.4092,5.1982,0.8512,116.2828,-0.9993,12.8091,3.2988,-12.1480,27.1670,0.1231,8.2162,12.2100,0.4933,-18.3849
NEO NEO,$6.18,'+3.91%,$437.2m,n/a,$17.1m,$22.4m,'+5.11%,$1.1m,'+1.73%,$381.4k,0.18%,1.311,0.051,0.039,'+0.0123%,'+0.0132%,'+0.0098%,'+0.0010%,$20.0k,$18.9k,$1.1k,0.0012,0.0009,10,1.99,66.61%,33.39%,1.99,66.53%,33.47%,'+0.48,'+0.89,'+0.90,'+0.90,,,,2.1086,-0.6743,242.7600,-23.2498,1.8633,0.0020,98.3257,122.1667,128.3592,-4.6857,0.4086,92.6847,-29.0645,4.3300k,0.0124,-0.8700,1.0328,1.3932,242.7600,206.6394,-1.4649,64.5988,3.4924,4.8627,4.8627,-59.7094,1.0328,1.8074,1.2874,2.6848,0.7357,-3.4341,47.3426,0.5813,-0.6394,-0.8700,-3.4341,0.3521,0.4202,9.7981,-0.2202,47.3426,1.2473,-1.0442,3.9794,0.0384,-6.8700,3.6156,0.4632,-17.9429
Movement MOVE,$0.11,'+2.24%,$310.4m,n/a,$24.0m,$28.0m,'+0.72%,$200.5k,-1.36%,$-385.2k,0.23%,1.166,0.090,0.077,-0.03%,'+0.0003%,'+0.0071%,'+0.0078%,$14.8k,$10.1k,$4.7k,0.0006,0.0005,9,2.09,67.68%,32.33%,2.07,67.40%,32.60%,'+0.56,'+0.04,'+0.84,'+0.08,,,,9.4956,-0.6766,239.2435,-100.0000,-1.9031,-0.0015,5.5543,88.7911,-96.0920,5.6591,0.6396,-10.5552,-98.6926,'-1.6709k,-0.0072,-1.4067,0.8737,0.4697,239.2435,43.6627,-2.6222,-46.8414,2.8225,-3.2597,-3.2597,-97.1776,0.8737,2.0404,2.0604,-115.9268,1.4741,-62.4515,-1.7618,0.3027,-0.2751,-1.4067,-62.4515,-0.9652,0.1146,-96.8757,-0.1607,-1.7618,0.2346,-1.8340,0.5311,0.0374,-7.4067,2.4452,0.5137,-45.5533
Toncoin TON,$2.82,'+2.51%,$7.1b,$14.5b,$106.1m,$221.1m,'+5.28%,$11.1m,'+1.05%,$2.3m,1.81%,2.084,0.031,0.015,'+0.0116%,'+0.0106%,'+0.0115%,'+0.0114%,$119.0k,$105.4k,$13.6k,0.0011,0.0005,15,4.49,81.78%,18.22%,4.35,81.31%,18.69%,'+0.37,'+0.52,'+0.86,'+0.56,,,,3.7913,-0.3676,229.1311,2.8789k,2.7575,0.0002,99.9993,8.5274,123.9717,-0.0673,0.2238,5.7473,-2.5555,342.6042,0.0085,-0.0730,1.2151,1.0272,229.1311,145.1995,-0.0693,-2.3516,6.2893,0.3917,0.3917,-11.4096,1.2151,0.9454,0.2975,1.5059,0.8062,-4.7178,1.3915,0.5339,0.1127,-0.0730,-4.7178,0.2853,-0.1192,-22.6711,-0.0065,1.3915,1.0241,-0.1234,4.2029,0.0251,-6.0730,6.2038,0.4072,-30.8262
