COIN,PRICE,CHG 24H,MKT CAP,FDV,VOL 24H,OPEN INTEREST,OI CHG 24H,OI CHG 24H,OI CHG 4H,OI CHG 4H,OI SHARE,OI / VOL24H,OI / MKTCAP,VOL24H / MKTCAP,FR AVG,PFR AVG,FR AVG OI_W,PFR AVG OI_W,LIQS. 24H,SHORT LIQS. 24H,LONG LIQS. 24H,LIQS. 24H / VOL 24H,LIQS. 24H / OI,NR CONTRS,L/S RATIO (1H),LONG (1H),SHORT (1H),L/S RATIO (1D),LONG (1D),SHORT (1D),BTC CORR. 30D,BTC CORR. 7D,ETH CORR. 30D,ETH CORR. 7D,CHART 24H,CHART 7D,CHART 30D,FUT / SPOT VOL RATIO >4 TRAP,BUYSELLVOL >0.2 PUMP,CORE TRIO 1 > 15,CORE TRIO 2 < -15,CORE TRIO 3 > 10,CVD DIV : DUMP=<-0.1 AND PUMP= >0.1,SPOT CVD SLOPE 25M,CVD SPOT LED DIVERG,DAILY SPOT ACCUMULATION,EXIT : LEVERAGE EXHAUSTION RATIO > 1.5,OI SCORE <0 = PUMP OVER,SPOT CVD DIVERGENCE LEAD>2,< -1 = PUMP OVER,EXPLOSIVE BREAKOUT >0.5 = BREAKOUT,FUNDING RATE ANOMALY,HEALTHY LEVERAGE GROWTH > 0.05,HOURLY BID-SIDE PRESSURE,HOURLY VOLUME PERSISTENCE,SPOT ACCUMULATION 12HR,HTF STEALTH ACCUMULATION BREAKOUT > 8,HTF VOLUME-WEIGHTED OI BREAKOUT,SPOT CVD ACCELERATION DOWN,LAYER 1:SUSTAINED OI GROWTH PT1 > 15,LAYER 1 STEALTH PT2 : OI GROWTH IN CONSOLIDATION > -5,LAYER 1:SUSTAINED OI GROWTH PT3 <5,LAYER 1 : SPOT CVD VS. PRICE DIVERGENCE >10,LAYER 2 BID-SIDE PRESSURE > 1.5,LAYER 2 : VOLUME PERSISTENCE PRE-BREAKOUT > 2,>+2 = LONG REVERSAL SOON,LTF MOMENTUM IGNITION,LTF MOMENTUM IGNITION SCORE > 3.5,NIHILUS 2> 1.4,NIHILUS 3> 2,NIHILUS VOL 1 > 2,OI PRICE CORR( +VE = PUMP),OI FUEL 1HR CHANGE,"OI FUEL ≥2.2 =EXPLOSION ,1.4–2.1=TREND , <1.4 SKIP",OI MULTI-TF SCORE,OI UNWIND : > 0= CASCADE DUMP STARTING,PRED FR CHANGE 1HR,PRICE CHG 15 M,SPOT-LED COMMITMENT SCORE >2,SPOT VOLUME EXPANSION,STEALTH ACCUM >5,OI CHANGE 20H > 10,PRICE CHANGE 20H < 0.05,STEALTH OI ACCUM>4,SUSTAINED OI GROWTH,SELL DOM >0.55,VOL SPIKE > 500
Bitlayer BTR,$0.08,-7.31%,$21.5m,$82.2m,$17.2m,$7.4m,'+0.62%,$45.9k,-8.73%,$-710.3k,0.06%,0.433,0.346,0.799,'+0.0067%,'+0.0093%,'+0.0070%,'+0.0091%,$69.8k,$13.4k,$56.4k,0.0041,0.0094,4,1.04,50.95%,49.06%,0.98,49.41%,50.60%,'+0.52,-0.66,'+0.21,-0.71,,,,125.9099,-2.2610,227.9944,36.7205,-4.2954,-0.1729,-0.2072,31.1470,-95.0222,-2.6476,1.4671,-9.3845,-39.0391,-50.7672,0.0114,-2.5334,1.0139,1.2538,227.9944,n/a,-1.5805,-5.2549,5.9319,-7.1047,-7.1047,-94.4344,1.0139,0.6012,4.0259,-0.3098,0.7497,-104.2011,-0.0183,0.1257,-0.6869,-2.5334,-104.2011,-2.2356,0.4822,-0.2339,-0.2056,-0.0183,0.0752,-4.7608,-6.2189,0.0950,6.4666,7.2822,0.5126,-27.2987
Celer Network CELR,$0.01,'+4.70%,$43.8m,n/a,$2.4m,$3.5m,'+2.14%,$73.4k,'+0.28%,$9.9k,0.03%,1.445,0.080,0.055,'+0.0654%,-0.03%,'+0.0106%,'+0.0096%,$258.20,$203.10,$55.10,0.0001,0.0001,4,2.63,72.47%,27.53%,2.49,71.39%,28.62%,'+0.56,'+0.83,'+0.86,'+0.91,,,,8.7756,-0.7737,224.1749,-100.0000,-1.7171,0.0141,43.0738,90.1649,78.7310,-18.7343,0.6573,-9.1856,-98.7011,193.6005,0.5162,0.7854,0.9716,1.0048,224.1749,99.3975,1.3914,-47.6619,-0.0097,9.9607,9.9607,-52.0540,0.9716,1.9196,-0.1360,-4.0045,2.5098,-35.9026,-1.5037,0.5056,-0.5505,0.7854,-35.9026,0.3454,0.3711,-127.8132,-0.1800,-1.5037,3.5831,0.3636,1.8582,0.0489,-5.2146,-3.9168,0.5038,-21.6835
DeLorean DMC,$0.00,'+1.57%,$12.2m,n/a,$2.1m,$1.9m,'+12.26%,$205.9k,'+7.84%,$137.1k,0.02%,0.911,0.155,0.170,'+0.0067%,'+0.0075%,'+0.0059%,'+0.0059%,$4.2k,$12.00,$4.2k,0.0020,0.0022,5,2.26,69.36%,30.64%,2.36,70.26%,29.74%,'+0.58,-0.45,'+0.81,-0.32,,,,27.0789,-1.0842,222.3195,58.2409,5.9824,0.0979,99.8210,48.2316,30.1124,-6.4973,0.8828,36.1537,-11.1885,n/a,0.0067,-0.6285,1.1129,4.0364,222.3195,216.6064,-0.5903,'-3.6851k,13.9425,-6.2973,-6.2973,45.0578,1.1129,0.9337,1.5179,0.5426,0.4362,-3.6557,0.5426,0.3655,-0.9823,-0.6285,-3.6557,1.9361,0.3966,0.0000,-0.5880,0.5426,6.5221,-1.4196,10.2321,0.0280,-6.6285,12.0376,0.4542,-62.7032
1000CAT 1000CAT,$0.01,'+4.10%,n/a,n/a,$8.9m,$4.5m,'+5.48%,$235.1k,-1.36%,$-62.6k,0.04%,0.507,n/a,n/a,'+0.0075%,'+0.0075%,'+0.0061%,'+0.0061%,$17.8k,$3.4k,$14.5k,0.0020,0.0039,3,2.16,68.35%,31.65%,1.89,65.40%,34.61%,'+0.77,'+0.80,'+0.83,'+0.88,,,,3.2035,-2.8214,200.4708,104.1058,2.6865,-0.0016,-0.0024,6.3681,-43.6927,0.3675,0.9108,-22.5989,-28.0363,-428.0698,0.0075,-1.9720,0.8213,1.0623,200.4708,329.0176,-1.5921,-19.0702,0.8671,5.1351,5.1351,-79.1163,0.8213,0.7921,2.9027,-149.6530,1.4123,-104.1182,-4.5820,0.5659,0.2113,-1.9720,-104.1182,-0.8167,-0.1546,0.0000,0.0566,-4.5820,3.4431,-2.8382,3.5889,0.0480,-7.9720,-6.7131,0.6101,-52.6344
Illuvium ILV,$16.02,'+18.51%,$153.2m,n/a,$17.8m,$6.9m,'+25.62%,$1.4m,'+5.01%,$327.8k,0.06%,0.387,0.045,0.116,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$59.0k,$50.6k,$8.4k,0.0033,0.0086,5,2.03,67.02%,32.99%,2.63,72.49%,27.52%,'+0.65,'+0.79,'+0.88,'+0.82,,,,2.5105,-0.5304,198.8360,-100.0000,20.0042,-0.0010,-0.0014,68.8224,50.6347,-66.2964,0.3928,-30.7809,-99.2067,-149.5003,0.0067,-0.3811,0.9128,4.1300,198.8360,218.0942,-0.4116,-45.4540,29.1747,20.8739,20.8739,-49.4741,0.9128,1.0890,0.7777,-150.5438,-0.1913,-103.8455,-17.6321,3.2344,-1.8181,-0.3811,-103.8455,0.4309,0.9076,0.0000,-0.9188,-17.6321,2.1941,-0.5384,25.7978,0.1772,-6.3811,10.3601,0.5113,22.6718
Quack AI Q,$0.03,-0.79%,$49.7m,n/a,$23.4m,$12.9m,-0.45%,$-57.8k,'+5.02%,$617.4k,0.11%,0.552,0.260,0.470,'+0.0175%,'+0.0158%,'+0.0102%,'+0.0183%,$74.9k,$26.2k,$48.7k,0.0032,0.0058,5,0.86,46.28%,53.73%,1.02,50.42%,49.59%,'+0.50,'+0.73,-0.04,'+0.78,,,,396.3905,-0.1478,191.7680,-61.1825,-4.7246,0.0589,91.3182,7.8544,-87.2181,1.6825,-1.2459,3.4313,-5.6829,343.1576,0.0195,1.3739,0.9597,0.7495,191.7680,218.0278,0.5137,12.2453,24.5339,23.0825,23.0825,-94.3750,0.9597,0.3518,-2.6337,1.8205,0.8811,-5.2762,0.0051,0.1491,-0.0096,1.3739,-5.2762,1.1002,0.0957,25.1601,0.0861,0.0051,0.1914,-0.2130,-2.6197,0.1179,-7.6261,3.4984,0.4634,-62.9358
1MBABYDOGE 1MBABYDOGE,$0.00,'+4.28%,n/a,n/a,$7.3m,$5.4m,'+4.83%,$249.0k,'+0.04%,$1.9k,0.04%,0.737,n/a,n/a,'+1.0050%,'+1.0050%,'+0.0101%,'+0.0101%,$4.5k,$1.9k,$2.6k,0.0006,0.0008,2,2.51,71.48%,28.52%,2.53,71.64%,28.36%,'+0.80,'+0.92,'+0.83,'+0.96,,,,3.2955,-1.6347,189.5558,-100.0000,-1.2593,0.0029,99.9952,114.9609,72.0471,276.0941,0.1796,15.1465,-99.6288,-15.6398,-0.5168,-0.6031,0.9425,1.1705,189.5558,97.8993,-0.9087,-18.8139,12.8226,7.7116,7.7116,-34.5206,0.9425,1.5872,0.7887,21.3772,2.2236,-485.8304,6.8284,0.4418,0.6972,-0.6031,-485.8304,-0.1857,-0.3305,0.0000,0.3655,6.8284,1.4081,-0.6376,3.7277,0.0407,-6.6031,6.8834,0.5166,29.4357
MIRA MIRA,$0.59,-4.40%,n/a,n/a,$227.6m,$18.7m,-17.51%,$-4.0m,-15.38%,$-3.4m,0.15%,0.082,n/a,n/a,-0.06%,-0.06%,-0.07%,-0.06%,$480.7k,$160.7k,$320.0k,0.0021,0.0256,4,2.16,68.31%,31.69%,2.07,67.40%,32.60%,n/a,n/a,n/a,n/a,,,,7.1429,-1.7469,189.3428,-100.0000,-6.1446,0.0001,23.0658,88.2640,-95.6311,-96.5460,3.9351,-7.7408,-92.0095,11.9201,-0.0182,-6.3774,0.8220,0.9800,189.3428,n/a,-8.8717,-41.2051,n/a,n/a,n/a,n/a,0.8220,1.4477,10.3726,46.3341,-0.7522,102.4822,-1.6531,n/a,-5.5483,-6.3774,102.4822,-8.0084,2.8012,-23.4873,-2.8263,-1.6531,1.0321,-22.3394,-7.7769,0.0698,-3.3774,19.4645,0.5677,-48.1944
Renzo REZ,$0.01,'+5.28%,$32.1m,$122.1m,$15.5m,$7.6m,'+13.51%,$899.1k,'+1.47%,$109.7k,0.06%,0.489,0.235,0.481,-0.05%,-0.02%,-0.02%,-0.01%,$7.6k,$1.8k,$5.8k,0.0005,0.0010,7,2.94,74.61%,25.39%,2.97,74.79%,25.22%,'+0.72,'+0.70,'+0.62,'+0.79,,,,3.9232,-0.8822,186.3984,-100.0000,0.8128,-0.0023,70.7674,95.2173,-87.8588,-2.2138,0.6916,-4.0932,-98.6210,907.3837,-0.1968,0.2067,0.8723,0.6130,186.3984,309.9628,0.2914,-87.7013,17.1908,8.8948,8.8948,-90.2277,0.8723,1.4701,0.4828,12.3090,2.4902,32.1455,-1.3474,0.4043,2.0673,0.2067,32.1455,1.0110,-1.9214,-62.8538,0.1431,-1.3474,0.7197,-0.2687,-1.5592,0.0434,-5.7933,14.7805,0.5315,59.5538
TokenFi TOKEN,$0.01,'+2.29%,$36.7m,n/a,$2.5m,$4.7m,'+4.02%,$182.8k,'+1.19%,$55.8k,0.04%,1.895,0.129,0.068,'+0.0342%,'+0.0349%,'+0.0560%,'+0.0517%,$244.20,$199.90,$44.30,0.0001,0.0001,5,3.83,79.28%,20.73%,3.66,78.54%,21.46%,'+0.69,'+0.78,'+0.90,'+0.85,,,,18.2318,-0.0877,184.6234,5.5846,1.5833,-0.0330,65.1337,-8.3109,-21.0519,-4.1819,0.9264,-12.9347,-3.6967,435.3172,0.0849,-0.0707,1.1172,0.8470,184.6234,371.5619,-0.1578,-144.0841,12.9854,6.3747,6.3747,-2.4562,1.1172,2.5474,0.9977,1.1680,1.4906,-15.2093,-1.1585,0.5803,0.9584,-0.0707,-15.2093,0.9070,-1.2355,-8.1930,-0.2737,-1.1585,0.5953,-0.9301,3.2554,0.0355,-6.0707,4.6398,0.4675,-38.7550
Roam ROAM,$0.09,'+1.33%,$29.4m,n/a,$448.9k,$2.3m,'+5.46%,$121.7k,'+1.53%,$35.5k,0.02%,5.233,0.080,0.015,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,2,1.41,58.51%,41.49%,1.54,60.64%,39.36%,-0.11,'+0.12,'+0.44,'+0.14,,,,0.3580,0.7598,180.9489,82.3755,0.7157,0.0245,99.9561,2.0166,33.8651,0.4854,-0.1590,11.0025,8.8221,149.6633,0.0100,0.4695,1.1486,1.9071,180.9489,109.1747,0.6602,7.4073,-29.1383,-15.6011,-15.6011,61.1344,1.1486,1.4657,-0.6333,0.8544,0.0920,-3.4222,18.6185,0.2070,0.1779,0.4695,-3.4222,1.1793,-0.1233,0.0000,0.0545,18.6185,1.6052,0.4427,3.5433,0.0316,-5.5305,4.2441,0.4284,-53.0223
Solana SOL,$226.04,'+3.15%,$122.8b,n/a,$11.0b,$6.5b,'+1.44%,$92.3m,'+0.83%,$53.6m,53.46%,0.591,0.053,0.090,'+0.0044%,'+0.0043%,'+0.0008%,0.00%,$12.3m,$10.4m,$1.9m,0.0011,0.0019,24,2.79,73.63%,26.37%,2.82,73.81%,26.19%,'+0.87,'+0.94,'+0.85,'+0.98,,,,6.0915,-0.5084,179.0571,59.7881,1.7492,0.0000,19.0753,0.7865,101.8453,1.1069,0.3636,-12.2906,-12.7067,324.2325,0.0041,-0.6759,1.0443,0.9201,179.0571,53.1319,-1.0200,-126.4811,-3.3483,6.1442,6.1442,206.9467,1.0443,1.5902,1.0463,25.9468,2.1198,n/a,-2.1139,0.5689,0.7012,-0.6759,n/a,0.1948,-0.4049,-17.7688,0.2951,-2.1139,1.1585,-0.8131,2.6784,0.0443,-6.6759,-2.7184,0.4902,38.7644
Dash DASH,$36.81,'+39.73%,$453.3m,n/a,$371.6m,$22.7m,'+91.02%,$10.8m,'+22.36%,$4.2m,0.19%,0.061,0.050,0.820,'+0.0078%,-0.01%,'+0.0044%,-0.02%,$1.8m,$1.1m,$681.0k,0.0048,0.0789,4,1.32,56.91%,43.09%,1.65,62.20%,37.80%,'+0.55,'+0.89,'+0.55,'+0.87,,,,5.4021,-0.2605,172.3165,-100.0000,31.2238,-0.0001,-0.0001,72.2615,1.0343k,4.0763,-4.1808,-31.9532,-108.4293,-10.3417,0.0057,3.4996,0.9842,2.1229,172.3165,265.5201,3.6488,-5.2914,163.8309,75.8509,75.8509,69.7182,0.9842,1.0471,-7.7142,-148.3623,3.3497,-101.6651,-8.8012,8.8571,-0.0852,3.4996,-101.6651,2.6811,0.3980,-28.8371,0.3140,-8.8012,6.0277,-14.2638,64.6225,0.2551,-14.5004,102.2131,0.5091,-41.2399
Cronos CRO,$0.22,'+8.93%,$7.6b,n/a,$54.6m,$31.6m,'+4.96%,$1.5m,-7.02%,$-2.4m,0.26%,0.579,0.004,0.007,'+0.0101%,'+0.0195%,'+0.0079%,'+0.0103%,$105.3k,$63.2k,$42.1k,0.0019,0.0033,7,2.94,74.64%,25.36%,2.36,70.28%,29.72%,'+0.07,'+0.80,'+0.63,'+0.78,,,,3.7647,-0.2076,170.7979,402.0688,4.7120,-0.0002,13.6365,-4.7186,n/a,1.5345,0.7463,-6.2133,-0.7318,-194.9992,0.0142,-1.6707,1.0825,2.6484,170.7979,n/a,-1.1249,23.4738,21.7726,6.3403,6.3403,-32.6988,1.0825,0.6520,2.4335,-42.8791,1.0838,-34.6330,-1.2852,1.6347,0.1800,-1.6707,-34.6330,-2.7054,-0.0256,22.4394,0.1544,-1.2852,4.1691,-2.2526,7.5385,0.1363,-7.6707,-2.1590,0.4461,-17.8589
Polkadot DOT,$4.27,'+5.48%,$6.5b,$6.5b,$292.1m,$293.7m,'+6.98%,$19.2m,'+1.14%,$3.3m,2.41%,1.006,0.045,0.045,'+0.0090%,'+0.0118%,'+0.0052%,'+0.0101%,$529.6k,$511.3k,$18.3k,0.0018,0.0018,19,5.29,84.10%,15.90%,5.38,84.32%,15.68%,'+0.83,'+0.86,'+0.76,'+0.89,,,,7.9488,-1.3375,165.3398,-99.4880,3.0687,0.0003,59.1273,103.1062,-75.7628,0.3882,-0.0528,3.9604,-99.1969,22.9621,0.0085,-0.1588,0.9303,1.4586,165.3398,290.4885,-0.2418,16.2772,11.0110,7.8433,7.8433,-93.0947,0.9303,1.6062,0.1076,226.3652,1.5141,147.2546,0.7195,0.5896,0.2015,-0.1588,147.2546,0.3691,-0.1520,4.5452,0.0494,0.7195,1.1640,-0.1614,5.7514,0.0515,-6.1588,4.0804,0.5227,39.9384
Aptos APT,$5.02,'+9.75%,$3.6b,n/a,$354.0m,$276.0m,'+13.96%,$33.8m,'+3.31%,$8.8m,2.26%,0.780,0.078,0.099,'+0.0066%,'+0.0069%,'+0.0068%,'+0.0096%,$648.4k,$567.0k,$81.5k,0.0018,0.0023,14,5.49,84.58%,15.42%,5.97,85.64%,14.36%,'+0.88,'+0.94,'+0.79,'+0.94,,,,3.9894,-0.7040,164.8947,107.6923,6.1759,0.0000,11.3709,28.7678,192.4900,-12.3532,0.7541,-13.8022,-41.8118,-39.6403,0.0072,-0.4144,1.0257,2.1483,164.8947,81.1991,-0.4196,-5.6027,32.7027,17.3352,17.3352,300.9572,1.0257,1.0139,1.1727,n/a,1.3507,n/a,-6.5208,1.2992,-1.3518,-0.4144,n/a,0.3584,0.5846,14.8669,-0.7717,-6.5208,2.3604,-0.9894,12.2347,0.0951,-6.4144,2.2461,0.5269,23.0035
TAC TAC,$0.01,'+0.51%,$14.0m,n/a,$1.4m,$2.3m,'+4.77%,$103.2k,-1.51%,$-34.7k,0.02%,1.594,0.162,0.102,'+0.0075%,'+0.0075%,'+0.0070%,'+0.0070%,$3.0k,$n/a,$3.0k,0.0021,0.0013,3,2.62,72.35%,27.65%,2.48,71.30%,28.71%,'+0.29,-0.74,'+0.72,-0.68,,,,3.4241,-4.1371,163.0981,-100.0000,0.5849,0.0072,99.9729,120.0855,-5.9417,-20.9553,2.0024,22.1067,-95.9576,6.2123k,0.0075,-1.8604,0.7626,1.1604,163.0981,147.6989,-3.1495,-565.8511,-10.1137,-17.5874,-17.5874,-34.6228,0.7626,1.8190,3.8816,78.6529,1.5232,47.6170,6.0084,0.3293,-1.6475,-1.8604,47.6170,-0.9757,0.6355,0.0000,-1.0186,6.0084,5.0030,-5.9456,2.4737,0.0407,10.1396,8.7116,0.5954,-61.0687
Radiant Capital RDNT,$0.02,'+4.24%,$26.9m,n/a,$2.0m,$4.1m,'+5.09%,$199.2k,-0.83%,$-34.6k,0.03%,2.098,0.153,0.073,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$675.60,$675.60,$n/a,0.0003,0.0002,5,2.13,68.02%,31.98%,2.07,67.40%,32.60%,'+0.65,'+0.66,'+0.90,'+0.79,,,,3.0364,-2.0926,161.7939,-100.0000,-0.4591,0.0117,94.0527,137.3972,-93.7785,0.3824,0.7896,38.1950,-98.4046,1.4686k,0.0067,-0.8164,0.7720,0.9493,161.7939,136.1576,-1.3770,33.9482,30.9300,8.9435,8.9435,-96.9721,0.7720,1.8111,1.6141,-8.6307,1.0544,-9.3076,11.8202,0.3360,0.1795,-0.8164,-9.3076,-0.5913,-0.1154,0.0000,0.0640,11.8202,2.5312,-1.4527,5.2385,0.0552,-6.8164,-0.7641,0.5566,-74.3466
Chain XCN,$0.01,'+12.51%,$425.8m,n/a,$23.8m,$4.9m,'+25.59%,$989.4k,-1.09%,$-53.5k,0.04%,0.204,0.011,0.056,-0.05%,-0.05%,'+0.0051%,'+0.0023%,$24.1k,$14.2k,$9.9k,0.0010,0.0050,4,1.78,64.02%,35.99%,1.76,63.79%,36.22%,'+0.76,'+0.64,'+0.70,'+0.67,,,,0.9471,0.2800,158.2772,-0.4228,4.9633,-0.0012,95.9837,-20.2315,262.6606,-14.1335,1.6433,2.4285,24.3085,328.8379,-0.0794,-0.5224,1.0399,0.8982,158.2772,128.0115,-0.4424,-81.6846,14.9111,13.7621,13.7621,108.3820,1.0399,0.8341,2.1708,-1.9538,1.8033,23.3026,1.7835,1.4064,1.2235,-0.5224,23.3026,-0.5111,-0.7126,1.1051,0.5072,1.7835,9.0161,-3.2398,13.1143,0.1018,8.4776,14.5227,0.5009,345.1049
Impossible Cloud Network ICNT,$0.26,-0.90%,$42.4m,n/a,$13.1m,$2.6m,'+8.99%,$213.3k,'+13.67%,$311.0k,0.02%,0.197,0.061,0.309,'+0.0075%,'+0.0075%,'+0.0071%,'+0.0071%,$33.7k,$16.0k,$17.7k,0.0026,0.0130,5,1.46,59.34%,40.66%,1.35,57.49%,42.51%,'+0.22,'+0.88,'+0.60,'+0.86,,,,14.4985,-0.6865,154.6776,-100.0000,0.0467,0.0049,99.2524,131.2449,-90.3618,0.0496,-4.6290,26.4354,-109.6191,311.2682,0.0075,18.1578,0.9436,0.7807,154.6776,n/a,82.2353,24.7684,15.2529,23.7102,23.7102,-84.1622,0.9436,6.9988,-22.9673,0.7878,1.2719,23.3178,5.9739,1.1203,2.9810,18.1578,23.3178,17.6055,-2.9540,0.0000,0.0262,5.9739,5.6244,-4.9739,10.6347,0.1328,0.1578,-27.2882,0.5246,-59.3946
SQD SQD,$0.16,-26.40%,$133.7m,n/a,$263.0m,$11.8m,-50.02%,$-11.9m,-13.46%,$-1.8m,0.10%,0.045,0.089,1.967,0.00%,'+0.0025%,0.00%,'+0.0013%,$975.8k,$433.8k,$542.1k,0.0037,0.0824,4,1.10,52.34%,47.67%,0.61,38.02%,61.98%,-0.03,'+0.36,-0.41,'+0.35,,,,5.1745,-0.8818,154.3981,-30.6011,-26.9258,-0.0016,3.7528,11.6769,-14.9119,-11.4225,2.4419,-5.6776,-14.8706,37.1433,0.0068,-4.4669,1.0347,0.5303,154.3981,257.2287,-2.3184,-11.5119,535.3476,126.2279,126.2279,-78.5136,1.0347,0.4952,6.9509,3.6363,0.1953,n/a,-0.6297,0.6114,-1.5342,-4.4669,n/a,-6.6805,1.1224,-131.7877,-0.4165,-0.6297,0.2068,-10.6372,-45.9846,0.2784,7.5331,17.9376,0.5418,-22.4899
Virtuals Protocol VIRTUAL,$1.12,'+4.95%,$738.7m,$1.1b,$97.7m,$65.0m,'+10.16%,$6.0m,'+2.68%,$1.7m,0.53%,0.665,0.088,0.132,'+0.0047%,'+0.0055%,'+0.0078%,'+0.0079%,$59.6k,$35.8k,$23.8k,0.0006,0.0009,10,1.99,66.57%,33.43%,1.94,65.93%,34.07%,'+0.66,'+0.69,'+0.85,'+0.75,,,,6.3644,-0.7338,150.0890,200.2990,7.2820,0.0007,85.8284,38.7690,-39.6714,1.0376,0.6963,18.0822,-19.9806,488.0786,0.0036,-0.9803,1.0162,1.6734,150.0890,82.1342,-1.9966,47.9497,3.9321,4.4422,4.4422,-74.5243,1.0162,2.2721,1.6866,22.1848,1.7225,13.0579,4.9445,0.6606,0.7960,-0.9803,13.0579,0.6204,-0.4691,0.6754,0.3254,4.9445,1.4978,-1.4791,9.9303,0.0570,-6.9803,3.2749,0.5217,38.8235
Mind Network FHE,$0.05,'+1.64%,$12.2m,n/a,$2.5m,$4.3m,-1.28%,$-56.3k,-1.26%,$-55.4k,0.04%,1.705,0.356,0.209,'+0.0232%,'+0.0184%,'+0.0272%,'+0.0157%,$144.30,$138.10,$6.20,0.0001,0.0000,4,2.22,68.91%,31.10%,2.20,68.72%,31.28%,'+0.58,'+0.19,'+0.85,'+0.25,,,,5.0275,-1.9117,149.8810,537.0587,-3.2529,-0.0053,69.3430,27.9101,-4.2412,-81.0071,0.9822,12.8131,-14.1012,1.6970k,0.0176,-1.3597,1.2577,0.9976,149.8810,3.4496k,-1.6338,-89.3190,-6.6610,-3.4517,-3.4517,-90.4242,1.2577,1.2264,2.3555,-2.7694,2.4048,-14.0340,1.1598,0.2723,-1.4880,-1.3597,-14.0340,-0.7882,0.8017,-29.7510,-0.6918,1.1598,1.5249,-2.3515,-2.0344,0.0311,-7.3597,-1.3957,0.5176,423.8965
Floki Inu FLOKI,$0.00,'+0.30%,$817.9m,n/a,$8.4m,$3.9m,-1.71%,$-67.7k,'+0.46%,$18.0k,0.03%,0.465,0.005,0.010,'+0.0056%,'+0.0022%,'+0.0089%,0.00%,$9.4k,$748.30,$8.7k,0.0011,0.0024,6,n/a,n/a%,n/a%,n/a,n/a%,n/a%,'+0.57,'+0.64,'+0.92,'+0.72,,,,0.4307,-1.0553,149.2114,118.2903,0.8609,0.0006,96.2398,23.0368,-4.1976,-0.2355,0.7176,4.4058,-17.9117,3.8843k,0.0080,-0.1719,0.9984,1.0340,149.2114,264.9453,-0.2676,-10.2971,-7.5600,-0.3652,-0.3652,-24.1736,0.9984,1.6480,0.8912,-4.3266,3.0791,-4.9657,8.9112,0.5269,0.9878,-0.1719,-4.9657,0.3636,-1.0759,-99.8382,-0.0872,8.9112,1.8053,-0.6893,5.4696,0.0219,-6.1719,-4.8194,0.4943,20.2835
Altlayer ALT,$0.03,'+2.84%,$127.4m,n/a,$10.9m,$10.0m,-0.99%,$-99.6k,-0.10%,$-10.4k,0.08%,0.917,0.078,0.085,-0.01%,-0.01%,'+0.0094%,'+0.0098%,$12.0k,$2.8k,$9.2k,0.0011,0.0012,7,2.04,67.09%,32.91%,2.02,66.91%,33.09%,'+0.50,-0.01,'+0.88,'+0.16,,,,2.6992,0.7612,149.1894,398.7016,-1.3915,-0.0020,24.4294,-23.4944,-65.4157,0.6444,0.7684,-14.9815,9.2859,57.7416,-0.0054,-0.4653,1.0348,0.7989,149.1894,n/a,-0.4135,-28.0566,-9.9646,-0.6624,-0.6624,-90.4003,1.0348,0.8789,1.2384,-2.6438,1.4904,1.6840,-3.1335,0.6115,0.1938,-0.4653,1.6840,-0.0422,-0.3292,-16.3778,-0.1349,-3.1335,1.2843,-1.0630,-1.6444,0.0360,-6.4653,-8.7847,0.4613,-20.8597
ConstitutionDAO PEOPLE,$0.02,'+4.25%,$90.3m,n/a,$24.6m,$20.4m,'+3.51%,$692.0k,'+0.01%,$1.8k,0.17%,0.829,0.226,0.273,'+0.0081%,'+0.0064%,'+0.0093%,'+0.0100%,$25.6k,$11.5k,$14.1k,0.0010,0.0013,9,2.25,69.19%,30.81%,2.56,71.94%,28.06%,'+0.61,'+0.76,'+0.93,'+0.83,,,,15.7704,-1.5723,147.4752,-86.1988,-1.1539,-0.0010,36.9868,67.4328,-89.1716,-0.8618,0.5388,-10.3063,-77.1925,847.8167,0.0067,-0.7796,0.9970,0.9825,147.4752,119.2119,-1.2718,-232.8034,4.2273,5.6398,5.6398,-86.3817,0.9970,1.7413,1.3262,-15.4737,1.2423,-16.5469,-1.1271,0.3617,-0.1539,-0.7796,-16.5469,-0.4007,0.0532,-19.2398,-0.1008,-1.1271,0.7377,-1.0783,1.3707,0.0388,-6.7796,-4.2284,0.5199,-21.1295